-2, 4, 4, 4, 4, -4, 3, 16649, 16649, 2, 1, 4, 1
-1, -33299, -33299, 33299, -33299, -33299, 2, -3, 3, 2, 33299, -4, 133199
-12486, 12487, -12488, 12488, 24974, -24974, 12487, -24973, -24974, -24974, -12488, -24974, 137357
33299, 33299, -1, 33299, -33298, -33299, 2, -33299, -33297, -33299, -33298, -33298, 199790
4, 24974, -5, -24974, 4, 24974, -1, 4, -24974, -24974, -2, -2, 74926
-24974, 3, 6, -5, 6, 6, -2, -24974, 4, -6, 1, -5, 49959
24974, -5, -4, 2, -6, 6, -1, -3, 24974, 24974, 6, 24974, 12
4, -24974, -24974, 24974, 9, 8, -6, 2, -3, 9, 5, 6, 49946
24974, -16649, 8324, -8323, -8325, 16651, -16650, 16650, 24973, 16651, 16651, -24974, 49947
-16648, -16650, -33299, -33299, 16651, 33299, 16651, 16651, 33299, 33299, -33299, -16650, 116546
24974, 12487, -24974, -24974, -12486, 12487, -12488, -12488, 12488, -24974, 12488, -12487, 99897
99899, -99899, -99899, -99899, 99899, 99899, 99899, -99899, -99899, 99899, -99899, -99899, 699292
-16650, 33299, 33299, -16651, 16648, 16651, -33299, 33299, -33299, 33299, -16651, 16650, 83251
-1, 4, 24974, -24974, 24974, -24972, 24974, 24974, -2, 24974, 24973, -24970, 49945
-24974, 12489, -24973, -12487, 1, -24974, -12486, -24974, 24974, 12485, 24974, 24974, 99894
33299, 33299, -33299, 33299, 2, -33297, 33298, 33299, 33299, -33299, -1, 33299, 66597
-33299, -33299, -16648, -33299, 16649, -16648, 33299, -33299, -16651, 16651, -16650, 33299, 166494
24974, 6, 5, -24974, -1, 6, -2, 4, -6, 24974, 6, -24974, 49950
-12486, 24973, -12487, -12488, -1, -24974, 12488, 12488, 12487, -24974, 24974, -24974, 87410
-16650, 24974, 8325, 24973, 8327, -24973, 8323, -16650, -8327, -16649, 8324, -24974, 83249
-16649, -33299, -33299, -16650, 33299, 33299, 33299, 33299, -33299, -33298, -33299, 16649, 166494
12486, 12489, 12489, -24974, -12488, -24974, 24974, -12487, 12485, 12489, 12487, 12488, 49949
12486, 24974, -24974, -12485, -12489, -12488, -12489, -24974, -12487, 12488, -12489, -12487, 112388
24974, -24974, 4, 1, -24974, -24974, -5, 5, -24974, -3, 2, -6, 99903
-24974, 2, -24974, -1, 24974, 4, -24974, -5, -24974, 2, 5, -24974, 124870
33299, -16650, -16651, 33299, 16651, -16649, -16651, -33298, 33299, -33299, 16650, 16648, 99899
-12486, -12489, -12488, 12488, -12489, 12488, -24974, 12487, 12487, 12485, -24974, -24973, 99899
16648, 16649, 33299, -33299, -33299, 16650, -16650, -16649, -16651, -16650, 33298, 16651, 99899
16650, 16651, -33299, -16650, -33299, 33299, 16649, -33299, 33299, -33298, 16648, -33299, 149845
-24974, 12488, 12489, 3, 12486, -24973, 24973, -24974, -24973, -12486, -12489, -12485, 112380
7, 12, -12, 24974, 24974, -4, 24974, -7, 13, 24974, 5, -13, 19
